rank	source	target	interaction	pearson_r	abs_r	correlation_sign	source_degree	target_degree	core_score	source_annotation	target_annotation
325	Lchi15176	Lchi26693	positive_coexpression	0.99079895	0.99079895	positive	1001	177	417.05104102	transcription factor EGL1-like isoform X1	zinc-finger homeodomain protein 1-like
326	Lchi06972	Lchi05513	positive_coexpression	0.96496111	0.96496111	positive	1055	177	416.98715179	transcription factor bHLH149-like	methyl-CpG-binding domain-containing protein 11-like isoform X1
327	Lchi08487	Lchi17168	negative_coexpression	-0.98088604	0.98088604	negative	1021	177	416.98271997	WUSCHEL-related homeobox 9	thiamine thiazole synthase 2, chloroplastic-like
328	Lchi23901	Lchi14598	negative_coexpression	-0.96230698	0.96230698	negative	1111	169	416.97884083	B-box zinc finger protein 20-like	pentatricopeptide repeat-containing protein At3g02490, mitochondrial-like isoform X2
329	Lchi00158	Lchi18724	positive_coexpression	0.97953194	0.97953194	positive	1018	178	416.96777475	transcription factor bHLH147	protein DETOXIFICATION 33-like
330	Lchi15176	Lchi18724	positive_coexpression	0.98754323	0.98754323	positive	1001	178	416.85321559	transcription factor EGL1-like isoform X1	protein DETOXIFICATION 33-like
331	Lchi07566	Lchi22953	positive_coexpression	0.97956812	0.97956812	positive	1059	171	416.85083698	LOB domain-containing protein 25-like isoform X3	aspartyl protease family protein 2
332	Lchi02953	Lchi03719	positive_coexpression	0.98020649	0.98020649	positive	1070	169	416.82409395	homeobox-leucine zipper protein ATHB-13-like isoform X1	serine carboxypeptidase II-2-like
333	Lchi23901	Lchi02233	positive_coexpression	0.98856473	0.98856473	positive	1111	160	416.79464688	B-box zinc finger protein 20-like	cyclin-dependent kinase inhibitor 5-like
334	Lchi06007	Lchi17921	positive_coexpression	0.98594475	0.98594475	positive	1027	174	416.78533044	homeobox-leucine zipper protein HAT2-like	probable polygalacturonase
335	Lchi08779	Lchi14169	positive_coexpression	0.98687685	0.98687685	positive	1025	174	416.77294455	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2
336	Lchi15589	Lchi11374	positive_coexpression	0.97281516	0.97281516	positive	1067	172	416.75110790	trihelix transcription factor GTL1 isoform X1	dehydrin/lea group 2-like protein
337	Lchi09693	Lchi05599	positive_coexpression	0.97734487	0.97734487	positive	1033	176	416.72958390	homeobox-leucine zipper protein ATHB-6-like	protein kinase PINOID 2
338	Lchi02953	Lchi25487	positive_coexpression	0.97421420	0.97421420	positive	1070	171	416.72005288	homeobox-leucine zipper protein ATHB-13-like isoform X1	protein MOTHER of FT and TFL1-like protein
339	Lchi23901	Lchi20971	positive_coexpression	0.98222309	0.98222309	positive	1111	162	416.70112793	B-box zinc finger protein 20-like	UDP-glycosyltransferase 89B2-like
340	Lchi13937	Lchi31555	positive_coexpression	0.98711360	0.98711360	positive	1030	173	416.68589474	B3 domain-containing protein Os03g0212300-like	protein CHUP1, chloroplastic-like isoform X1
341	Lchi15176	Lchi17168	positive_coexpression	0.98992985	0.98992985	positive	1001	177	416.68521598	transcription factor EGL1-like isoform X1	thiamine thiazole synthase 2, chloroplastic-like
342	Lchi18004	Lchi11642	positive_coexpression	0.98150158	0.98150158	positive	1001	180	416.62400968	transcription factor bHLH13-like isoform X2	arogenate dehydrogenase 2, chloroplastic-like
343	Lchi02953	Lchi05990	positive_coexpression	0.96278739	0.96278739	positive	1070	175	416.62114361	homeobox-leucine zipper protein ATHB-13-like isoform X1	oleosin Cor a 13-like
344	Lchi08487	Lchi17615	negative_coexpression	-0.97997916	0.97997916	negative	1021	177	416.59719783	WUSCHEL-related homeobox 9	zinc finger CCCH domain-containing protein 53-like isoform X2
345	Lchi02551	Lchi16235	positive_coexpression	0.96247685	0.96247685	positive	1035	181	416.58128450	transcription factor bHLH62-like isoform X1	beta-glucosidase 44-like
346	Lchi13937	Lchi06116	negative_coexpression	-0.98964787	0.98964787	negative	1030	172	416.54653874	B3 domain-containing protein Os03g0212300-like	probable galactinol--sucrose galactosyltransferase 2 isoform X1
347	Lchi15176	Lchi05513	positive_coexpression	0.98959988	0.98959988	positive	1001	177	416.54632370	transcription factor EGL1-like isoform X1	methyl-CpG-binding domain-containing protein 11-like isoform X1
348	Lchi13371	Lchi02035	positive_coexpression	0.99063325	0.99063325	positive	1040	170	416.53742800	ethylene-responsive transcription factor 4-like	amino acid permease 3-like
349	Lchi08779	Lchi07558	positive_coexpression	0.99480641	0.99480641	positive	1025	171	416.48423114	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	leucine-rich repeat receptor-like serine/threonine-protein kinase RGI4
350	Lchi02953	Lchi27919	positive_coexpression	0.98813105	0.98813105	positive	1070	166	416.44771086	homeobox-leucine zipper protein ATHB-13-like isoform X1	non-functional NADPH-dependent codeinone reductase 2-like isoform X1
351	Lchi13937	Lchi16452	negative_coexpression	-0.97805798	0.97805798	negative	1030	176	416.42763944	B3 domain-containing protein Os03g0212300-like	protein AUXIN SIGNALING F-BOX 2-like
352	Lchi18250	Lchi08727	positive_coexpression	0.95376158	0.95376158	positive	1077	177	416.42261664	transcription factor bHLH93	LAX3-1
353	Lchi06007	Lchi07109	positive_coexpression	0.99365973	0.99365973	positive	1027	171	416.40982366	homeobox-leucine zipper protein HAT2-like	65-kDa microtubule-associated protein 1-like
354	Lchi06972	Lchi27397	positive_coexpression	0.98614460	0.98614460	positive	1055	169	416.39948437	transcription factor bHLH149-like	p-coumarate 3-hydroxylase-like
355	Lchi06972	Lchi25757	positive_coexpression	0.99198681	0.99198681	positive	1055	167	416.38048140	transcription factor bHLH149-like	cytochrome P450 71A1-like
356	Lchi13371	Lchi25772	positive_coexpression	0.96495450	0.96495450	positive	1040	179	416.34180519	ethylene-responsive transcription factor 4-like	cysteine proteinase inhibitor 5-like
357	Lchi31297	Lchi18724	positive_coexpression	0.98581737	0.98581737	positive	1002	178	416.33251310	trihelix transcription factor ASIL2	protein DETOXIFICATION 33-like
358	Lchi22877	Lchi08727	positive_coexpression	0.96989578	0.96989578	positive	1041	177	416.32938759	transcription factor AS1	LAX3-1
359	Lchi02551	Lchi11374	positive_coexpression	0.98673081	0.98673081	positive	1035	172	416.32557191	transcription factor bHLH62-like isoform X1	dehydrin/lea group 2-like protein
360	Lchi08779	Lchi16615	positive_coexpression	0.98865360	0.98865360	positive	1025	173	416.32178444	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	germin-like protein 5-1
361	Lchi07566	Lchi11837	positive_coexpression	0.98701817	0.98701817	positive	1059	168	416.32047327	LOB domain-containing protein 25-like isoform X3	alpha-mannosidase At3g26720-like
362	Lchi15176	Lchi09003	positive_coexpression	0.99185568	0.99185568	positive	1001	176	416.31480673	transcription factor EGL1-like isoform X1	allene oxide synthase 1, chloroplastic-like
363	Lchi23901	Lchi13821	negative_coexpression	-0.97824037	0.97824037	negative	1111	163	416.29041646	B-box zinc finger protein 20-like	protein FLX-like 2
364	Lchi06972	Lchi15600	positive_coexpression	0.98872602	0.98872602	positive	1055	168	416.25248016	transcription factor bHLH149-like	actin-101
365	Lchi18250	Lchi25772	positive_coexpression	0.94801682	0.94801682	positive	1077	179	416.24632284	transcription factor bHLH93	cysteine proteinase inhibitor 5-like
366	Lchi06007	Lchi06686	positive_coexpression	0.99610084	0.99610084	positive	1027	170	416.21045840	homeobox-leucine zipper protein HAT2-like	desmethyl-yatein O-methyltransferase-like
367	Lchi13937	Lchi01554	negative_coexpression	-0.98597229	0.98597229	negative	1030	173	416.20411860	B3 domain-containing protein Os03g0212300-like	aquaporin TIP3-1-like
368	Lchi13937	Lchi03143	negative_coexpression	-0.98589164	0.98589164	negative	1030	173	416.17007417	B3 domain-containing protein Os03g0212300-like	scopoletin glucosyltransferase-like
369	Lchi13937	Lchi11589	negative_coexpression	-0.98872387	0.98872387	negative	1030	172	416.15762363	B3 domain-containing protein Os03g0212300-like	ribonuclease 3-like
370	Lchi22877	Lchi25772	positive_coexpression	0.96405762	0.96405762	positive	1041	179	416.15476522	transcription factor AS1	cysteine proteinase inhibitor 5-like
371	Lchi23901	Lchi06665	positive_coexpression	0.99641901	0.99641901	positive	1111	157	416.14900466	B-box zinc finger protein 20-like	receptor-like protein 6
372	Lchi07566	Lchi18761	positive_coexpression	0.98357832	0.98357832	positive	1059	169	416.10245662	LOB domain-containing protein 25-like isoform X3	deSI-like protein At4g17486
373	Lchi13371	Lchi25188	positive_coexpression	0.96976554	0.96976554	positive	1040	177	416.07349458	ethylene-responsive transcription factor 4-like	villin-1 isoform X1
374	Lchi02953	Lchi01385	positive_coexpression	0.97842091	0.97842091	positive	1070	169	416.06479194	homeobox-leucine zipper protein ATHB-13-like isoform X1	abscisic acid receptor PYR1-like
375	Lchi07566	Lchi02670	positive_coexpression	0.99232167	0.99232167	positive	1059	166	416.05859630	LOB domain-containing protein 25-like isoform X3	peroxisomal (S)-2-hydroxyacid oxidase GLO4-like isoform X1
376	Lchi08779	Lchi09003	positive_coexpression	0.97952592	0.97952592	positive	1025	176	416.03914893	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	allene oxide synthase 1, chloroplastic-like
377	Lchi06972	Lchi27946	positive_coexpression	0.96005344	0.96005344	positive	1055	178	416.03669633	transcription factor bHLH149-like	receptor protein kinase CLAVATA1
378	Lchi15589	Lchi28705	positive_coexpression	0.96542454	0.96542454	positive	1067	174	415.98260259	trihelix transcription factor GTL1 isoform X1	oleosin S1-2
379	Lchi07566	Lchi13511	positive_coexpression	0.98033035	0.98033035	positive	1059	170	415.95360144	LOB domain-containing protein 25-like isoform X3	auxin-induced protein 22B-like
380	Lchi06972	Lchi09003	positive_coexpression	0.96529937	0.96529937	positive	1055	176	415.95331179	transcription factor bHLH149-like	allene oxide synthase 1, chloroplastic-like
381	Lchi23901	Lchi25294	positive_coexpression	0.96557409	0.96557409	positive	1111	167	415.91144226	B-box zinc finger protein 20-like	subtilisin-like protease SBT1.8
382	Lchi09693	Lchi16615	positive_coexpression	0.98384577	0.98384577	positive	1033	173	415.91083560	homeobox-leucine zipper protein ATHB-6-like	germin-like protein 5-1
383	Lchi09693	Lchi25487	positive_coexpression	0.98955750	0.98955750	positive	1033	171	415.90031633	homeobox-leucine zipper protein ATHB-6-like	protein MOTHER of FT and TFL1-like protein
384	Lchi06007	Lchi11825	positive_coexpression	0.99535042	0.99535042	positive	1027	170	415.89690315	homeobox-leucine zipper protein HAT2-like	nudix hydrolase 12, mitochondrial-like
385	Lchi18250	Lchi05513	positive_coexpression	0.95248652	0.95248652	positive	1077	177	415.86591166	transcription factor bHLH93	methyl-CpG-binding domain-containing protein 11-like isoform X1
386	Lchi23901	Lchi10644	positive_coexpression	0.98328543	0.98328543	positive	1111	161	415.86231942	B-box zinc finger protein 20-like	GDSL esterase/lipase At3g26430-like
387	Lchi23901	Lchi13532	positive_coexpression	0.99573195	0.99573195	positive	1111	157	415.86205777	B-box zinc finger protein 20-like	DJ-1 protein homolog E-like
388	Lchi08487	Lchi17921	negative_coexpression	-0.98661911	0.98661911	negative	1021	174	415.85029923	WUSCHEL-related homeobox 9	probable polygalacturonase
389	Lchi15176	Lchi07386	positive_coexpression	0.99074894	0.99074894	positive	1001	176	415.85027116	transcription factor EGL1-like isoform X1	potassium transporter 2
390	Lchi08779	Lchi07386	positive_coexpression	0.97904450	0.97904450	positive	1025	176	415.83467290	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	potassium transporter 2
391	Lchi23901	Lchi13510	positive_coexpression	0.99565428	0.99565428	positive	1111	157	415.82961931	B-box zinc finger protein 20-like	auxin-responsive protein IAA16-like
392	Lchi06972	Lchi25487	positive_coexpression	0.97896904	0.97896904	positive	1055	171	415.80838458	transcription factor bHLH149-like	protein MOTHER of FT and TFL1-like protein
393	Lchi23901	Lchi11229	positive_coexpression	0.97411913	0.97411913	positive	1111	164	415.80626222	B-box zinc finger protein 20-like	24-methylenesterol C-methyltransferase 2-like
394	Lchi15589	Lchi27397	positive_coexpression	0.97908336	0.97908336	positive	1067	169	415.76241992	trihelix transcription factor GTL1 isoform X1	p-coumarate 3-hydroxylase-like
395	Lchi13371	Lchi16615	positive_coexpression	0.98004395	0.98004395	positive	1040	173	415.70502404	ethylene-responsive transcription factor 4-like	germin-like protein 5-1
396	Lchi06972	Lchi00354	positive_coexpression	0.97024137	0.97024137	positive	1055	174	415.70059151	transcription factor bHLH149-like	stress-related protein-like
397	Lchi08779	Lchi11589	positive_coexpression	0.99000555	0.99000555	positive	1025	172	415.68445649	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	ribonuclease 3-like
398	Lchi02953	Lchi01000	positive_coexpression	0.97462124	0.97462124	positive	1070	170	415.67338805	homeobox-leucine zipper protein ATHB-13-like isoform X1	V-type proton ATPase subunit B 2 isoform X1
399	Lchi15589	Lchi04752	positive_coexpression	0.97593307	0.97593307	positive	1067	170	415.64896647	trihelix transcription factor GTL1 isoform X1	ABC transporter-like protein
400	Lchi09693	Lchi05990	positive_coexpression	0.97748190	0.97748190	positive	1033	175	415.60226851	homeobox-leucine zipper protein ATHB-6-like	oleosin Cor a 13-like
401	Lchi07566	Lchi16452	positive_coexpression	0.96260554	0.96260554	positive	1059	176	415.57811683	LOB domain-containing protein 25-like isoform X3	protein AUXIN SIGNALING F-BOX 2-like
402	Lchi06007	Lchi01370	positive_coexpression	0.99453211	0.99453211	positive	1027	170	415.55498076	homeobox-leucine zipper protein HAT2-like	late embryogenesis abundant protein 6
403	Lchi05992	Lchi14169	positive_coexpression	0.98585290	0.98585290	positive	1021	174	415.52734921	ethylene-responsive transcription factor 2-like	putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase 2
404	Lchi06007	Lchi08727	positive_coexpression	0.97459888	0.97459888	positive	1027	177	415.52557863	homeobox-leucine zipper protein HAT2-like	LAX3-1
405	Lchi23901	Lchi23745	positive_coexpression	0.96175563	0.96175563	positive	1111	168	415.50514674	B-box zinc finger protein 20-like	allene oxide cyclase, chloroplastic-like
406	Lchi02551	Lchi28705	positive_coexpression	0.97900790	0.97900790	positive	1035	174	415.46170145	transcription factor bHLH62-like isoform X1	oleosin S1-2
407	Lchi22877	Lchi27397	positive_coexpression	0.99032414	0.99032414	positive	1041	169	415.38047875	transcription factor AS1	p-coumarate 3-hydroxylase-like
408	Lchi07566	Lchi06686	positive_coexpression	0.97893858	0.97893858	positive	1059	170	415.36307423	LOB domain-containing protein 25-like isoform X3	desmethyl-yatein O-methyltransferase-like
409	Lchi02953	Lchi12025	positive_coexpression	0.95984679	0.95984679	positive	1070	175	415.34867562	homeobox-leucine zipper protein ATHB-13-like isoform X1	protein neprosin-like
410	Lchi15589	Lchi17615	positive_coexpression	0.95567548	0.95567548	positive	1067	177	415.31659642	trihelix transcription factor GTL1 isoform X1	zinc finger CCCH domain-containing protein 53-like isoform X2
411	Lchi06007	Lchi02104	negative_coexpression	-0.98816538	0.98816538	negative	1027	172	415.31639892	homeobox-leucine zipper protein HAT2-like	bidirectional sugar transporter SWEET1
412	Lchi15589	Lchi07558	positive_coexpression	0.97219718	0.97219718	positive	1067	171	415.27388603	trihelix transcription factor GTL1 isoform X1	leucine-rich repeat receptor-like serine/threonine-protein kinase RGI4
413	Lchi23901	Lchi13019	positive_coexpression	0.99429208	0.99429208	positive	1111	157	415.26070386	B-box zinc finger protein 20-like	O-fucosyltransferase 31-like
414	Lchi23901	Lchi04059	positive_coexpression	0.97278327	0.97278327	positive	1111	164	415.23604557	B-box zinc finger protein 20-like	protein DETOXIFICATION 49-like
415	Lchi15176	Lchi02750	positive_coexpression	0.98648429	0.98648429	positive	1001	177	415.23489714	transcription factor EGL1-like isoform X1	LRR receptor-like serine/threonine-protein kinase ERECTA
416	Lchi13371	Lchi11647	positive_coexpression	0.98752075	0.98752075	positive	1040	170	415.22869670	ethylene-responsive transcription factor 4-like	ketol-acid reductoisomerase, chloroplastic-like
417	Lchi00158	Lchi05513	positive_coexpression	0.97815853	0.97815853	positive	1018	177	415.21187781	transcription factor bHLH147	methyl-CpG-binding domain-containing protein 11-like isoform X1
418	Lchi02551	Lchi16615	positive_coexpression	0.98119420	0.98119420	positive	1035	173	415.19125619	transcription factor bHLH62-like isoform X1	germin-like protein 5-1
419	Lchi22877	Lchi04752	positive_coexpression	0.98694342	0.98694342	positive	1041	170	415.18540787	transcription factor AS1	ABC transporter-like protein
420	Lchi02953	Lchi02104	negative_coexpression	-0.96773136	0.96773136	negative	1070	172	415.15562555	homeobox-leucine zipper protein ATHB-13-like isoform X1	bidirectional sugar transporter SWEET1
421	Lchi02953	Lchi01554	positive_coexpression	0.96492779	0.96492779	positive	1070	173	415.15450474	homeobox-leucine zipper protein ATHB-13-like isoform X1	aquaporin TIP3-1-like
422	Lchi18004	Lchi25188	positive_coexpression	0.98627424	0.98627424	positive	1001	177	415.14648206	transcription factor bHLH13-like isoform X2	villin-1 isoform X1
423	Lchi23901	Lchi17239	positive_coexpression	0.99078435	0.99078435	positive	1111	158	415.11144839	B-box zinc finger protein 20-like	non-symbiotic hemoglobin 2
424	Lchi23901	Lchi13097	positive_coexpression	0.96075499	0.96075499	positive	1111	168	415.07284246	B-box zinc finger protein 20-like	glycosylinositol phosphorylceramide mannosyl transferase 1-like
425	Lchi08487	Lchi02750	negative_coexpression	-0.97638243	0.97638243	negative	1021	177	415.06819834	WUSCHEL-related homeobox 9	LRR receptor-like serine/threonine-protein kinase ERECTA
426	Lchi02953	Lchi06116	positive_coexpression	0.96750212	0.96750212	positive	1070	172	415.05728185	homeobox-leucine zipper protein ATHB-13-like isoform X1	probable galactinol--sucrose galactosyltransferase 2 isoform X1
427	Lchi07566	Lchi24864	positive_coexpression	0.98104399	0.98104399	positive	1059	169	415.03030922	LOB domain-containing protein 25-like isoform X3	(S)-coclaurine N-methyltransferase-like isoform X1
428	Lchi08779	Lchi26693	positive_coexpression	0.97436070	0.97436070	positive	1025	177	415.01932969	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	zinc-finger homeodomain protein 1-like
429	Lchi22877	Lchi27946	positive_coexpression	0.96407372	0.96407372	positive	1041	178	414.99762411	transcription factor AS1	receptor protein kinase CLAVATA1
430	Lchi13937	Lchi25487	negative_coexpression	-0.98882192	0.98882192	negative	1030	171	414.98724907	B3 domain-containing protein Os03g0212300-like	protein MOTHER of FT and TFL1-like protein
431	Lchi02953	Lchi18761	positive_coexpression	0.97579151	0.97579151	positive	1070	169	414.94666297	homeobox-leucine zipper protein ATHB-13-like isoform X1	deSI-like protein At4g17486
432	Lchi23901	Lchi07737	positive_coexpression	0.99340832	0.99340832	positive	1111	157	414.89160628	B-box zinc finger protein 20-like	phenylalanine N-monooxygenase-like
433	Lchi24981	Lchi18724	positive_coexpression	0.99032891	0.99032891	positive	986	178	414.88517439	protein TIFY 6B isoform X2	protein DETOXIFICATION 33-like
434	Lchi13371	Lchi11374	positive_coexpression	0.98091125	0.98091125	positive	1040	172	414.86864085	ethylene-responsive transcription factor 4-like	dehydrin/lea group 2-like protein
435	Lchi25021	Lchi27946	positive_coexpression	0.98826027	0.98826027	positive	990	178	414.85748929	heat stress transcription factor A-2b-like	receptor protein kinase CLAVATA1
436	Lchi09693	Lchi02104	negative_coexpression	-0.98419559	0.98419559	negative	1033	172	414.85449389	homeobox-leucine zipper protein ATHB-6-like	bidirectional sugar transporter SWEET1
437	Lchi13371	Lchi31555	negative_coexpression	-0.97791386	0.97791386	negative	1040	173	414.80150424	ethylene-responsive transcription factor 4-like	protein CHUP1, chloroplastic-like isoform X1
438	Lchi24373	Lchi11642	positive_coexpression	0.98857337	0.98857337	positive	978	180	414.77692472	protein YABBY 4-like	arogenate dehydrogenase 2, chloroplastic-like
439	Lchi09693	Lchi01385	positive_coexpression	0.99267340	0.99267340	positive	1033	169	414.76289544	homeobox-leucine zipper protein ATHB-6-like	abscisic acid receptor PYR1-like
440	Lchi22877	Lchi00354	positive_coexpression	0.97453249	0.97453249	positive	1041	174	414.75947069	transcription factor AS1	stress-related protein-like
441	Lchi23901	Lchi27672	positive_coexpression	0.99624449	0.99624449	positive	1111	156	414.74891740	B-box zinc finger protein 20-like	acyltransferase GLAUCE
442	Lchi02198	Lchi17168	positive_coexpression	0.96941108	0.96941108	positive	1034	177	414.71990636	transcription factor HEC1-like	thiamine thiazole synthase 2, chloroplastic-like
443	Lchi02551	Lchi17443	positive_coexpression	0.95815903	0.95815903	positive	1035	181	414.71243643	transcription factor bHLH62-like isoform X1	plant/F18G18-20 protein
444	Lchi23901	Lchi29887	positive_coexpression	0.98358017	0.98358017	positive	1111	160	414.69307693	B-box zinc finger protein 20-like	geraniol 8-hydroxylase-like
445	Lchi08487	Lchi00354	negative_coexpression	-0.98383808	0.98383808	negative	1021	174	414.67812230	WUSCHEL-related homeobox 9	stress-related protein-like
446	Lchi13371	Lchi26693	positive_coexpression	0.96648407	0.96648407	positive	1040	177	414.66559480	ethylene-responsive transcription factor 4-like	zinc-finger homeodomain protein 1-like
447	Lchi18250	Lchi00354	positive_coexpression	0.95778424	0.95778424	positive	1077	174	414.61991894	transcription factor bHLH93	stress-related protein-like
448	Lchi23901	Lchi25245	positive_coexpression	0.95124668	0.95124668	positive	1111	171	414.61808239	B-box zinc finger protein 20-like	myosin-binding protein 7-like
449	Lchi18004	Lchi25772	positive_coexpression	0.97943830	0.97943830	positive	1001	179	414.59173199	transcription factor bHLH13-like isoform X2	cysteine proteinase inhibitor 5-like
450	Lchi13371	Lchi28705	positive_coexpression	0.97460049	0.97460049	positive	1040	174	414.58913757	ethylene-responsive transcription factor 4-like	oleosin S1-2
451	Lchi15176	Lchi05599	positive_coexpression	0.98765546	0.98765546	positive	1001	176	414.55183475	transcription factor EGL1-like isoform X1	protein kinase PINOID 2
452	Lchi02953	Lchi25757	positive_coexpression	0.98067087	0.98067087	positive	1070	167	414.54664012	homeobox-leucine zipper protein ATHB-13-like isoform X1	cytochrome P450 71A1-like
453	Lchi13937	Lchi19725	negative_coexpression	-0.98769736	0.98769736	negative	1030	171	414.51529547	B3 domain-containing protein Os03g0212300-like	glucose and ribitol dehydrogenase-like
454	Lchi13371	Lchi12025	positive_coexpression	0.97156090	0.97156090	positive	1040	175	414.48204545	ethylene-responsive transcription factor 4-like	protein neprosin-like
455	Lchi18250	Lchi02670	positive_coexpression	0.98023915	0.98023915	positive	1077	166	414.47080021	transcription factor bHLH93	peroxisomal (S)-2-hydroxyacid oxidase GLO4-like isoform X1
456	Lchi22877	Lchi17921	positive_coexpression	0.97383982	0.97383982	positive	1041	174	414.46467144	transcription factor AS1	probable polygalacturonase
457	Lchi18004	Lchi17168	positive_coexpression	0.98465222	0.98465222	positive	1001	177	414.46373494	transcription factor bHLH13-like isoform X2	thiamine thiazole synthase 2, chloroplastic-like
458	Lchi07566	Lchi17317	positive_coexpression	0.97968465	0.97968465	positive	1059	169	414.45524092	LOB domain-containing protein 25-like isoform X3	probable protein phosphatase 2C 52 isoform X1
459	Lchi08779	Lchi04752	positive_coexpression	0.99282968	0.99282968	positive	1025	170	414.43950376	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	ABC transporter-like protein
460	Lchi09693	Lchi28705	positive_coexpression	0.97752613	0.97752613	positive	1033	174	414.43188400	homeobox-leucine zipper protein ATHB-6-like	oleosin S1-2
461	Lchi06007	Lchi17168	positive_coexpression	0.97195864	0.97195864	positive	1027	177	414.39989782	homeobox-leucine zipper protein HAT2-like	thiamine thiazole synthase 2, chloroplastic-like
462	Lchi22877	Lchi22953	positive_coexpression	0.98214680	0.98214680	positive	1041	171	414.38099218	transcription factor AS1	aspartyl protease family protein 2
463	Lchi23901	Lchi06775	positive_coexpression	0.99526531	0.99526531	positive	1111	156	414.34127264	B-box zinc finger protein 20-like	18 kDa seed maturation protein-like
464	Lchi00158	Lchi16615	positive_coexpression	0.98732716	0.98732716	positive	1018	173	414.34110944	transcription factor bHLH147	germin-like protein 5-1
465	Lchi07566	Lchi25757	positive_coexpression	0.98523444	0.98523444	positive	1059	167	414.32944698	LOB domain-containing protein 25-like isoform X3	cytochrome P450 71A1-like
466	Lchi22877	Lchi07558	positive_coexpression	0.98199546	0.98199546	positive	1041	171	414.31713979	transcription factor AS1	leucine-rich repeat receptor-like serine/threonine-protein kinase RGI4
467	Lchi25021	Lchi25772	positive_coexpression	0.98418081	0.98418081	positive	990	179	414.30388474	heat stress transcription factor A-2b-like	cysteine proteinase inhibitor 5-like
468	Lchi06972	Lchi26693	positive_coexpression	0.95864141	0.95864141	positive	1055	177	414.25622960	transcription factor bHLH149-like	zinc-finger homeodomain protein 1-like
469	Lchi02953	Lchi03143	positive_coexpression	0.96282667	0.96282667	positive	1070	173	414.25051022	homeobox-leucine zipper protein ATHB-13-like isoform X1	scopoletin glucosyltransferase-like
470	Lchi08779	Lchi05513	positive_coexpression	0.97252440	0.97252440	positive	1025	177	414.23717582	AP2/ERF and B3 domain-containing transcription repressor RAV2-like	methyl-CpG-binding domain-containing protein 11-like isoform X1
471	Lchi23901	Lchi01238	positive_coexpression	0.96443361	0.96443361	positive	1111	166	414.17455127	B-box zinc finger protein 20-like	WEB family protein At3g02930, chloroplastic-like isoform X1
472	Lchi02953	Lchi13821	negative_coexpression	-0.99167454	0.99167454	negative	1070	163	414.14731917	homeobox-leucine zipper protein ATHB-13-like isoform X1	protein FLX-like 2
473	Lchi18250	Lchi06352	positive_coexpression	0.97343910	0.97343910	positive	1077	168	414.06762851	transcription factor bHLH93	polygalacturonase At1g48100
474	Lchi01491	Lchi02750	positive_coexpression	0.99265587	0.99265587	positive	983	177	414.05888395	scarecrow-like protein 27	LRR receptor-like serine/threonine-protein kinase ERECTA
475	Lchi18004	Lchi16615	positive_coexpression	0.99484122	0.99484122	positive	1001	173	413.99382343	transcription factor bHLH13-like isoform X2	germin-like protein 5-1
476	Lchi13371	Lchi27946	positive_coexpression	0.96216154	0.96216154	positive	1040	178	413.97552338	ethylene-responsive transcription factor 4-like	receptor protein kinase CLAVATA1
477	Lchi18250	Lchi07386	positive_coexpression	0.95083416	0.95083416	positive	1077	176	413.97008783	transcription factor bHLH93	potassium transporter 2
478	Lchi23901	Lchi30887	positive_coexpression	0.99757195	0.99757195	positive	1111	155	413.96832067	B-box zinc finger protein 20-like	peamaclein-like
479	Lchi22404	Lchi16689	negative_coexpression	-0.90140796	0.90140796	negative	1212	174	413.94946240	nuclear transcription factor Y subunit A-1-like isoform X2	xyloglucan endotransglucosylase protein 2-like
480	Lchi23901	Lchi06407	positive_coexpression	0.96975905	0.96975905	positive	1111	164	413.94514636	B-box zinc finger protein 20-like	GDSL esterase/lipase At4g16230-like isoform X1
481	Lchi13371	Lchi17317	positive_coexpression	0.98728675	0.98728675	positive	1040	169	413.90753300	ethylene-responsive transcription factor 4-like	probable protein phosphatase 2C 52 isoform X1
482	Lchi07566	Lchi02104	negative_coexpression	-0.96980327	0.96980327	negative	1059	172	413.90040147	LOB domain-containing protein 25-like isoform X3	bidirectional sugar transporter SWEET1
483	Lchi22877	Lchi11374	positive_coexpression	0.97811830	0.97811830	positive	1041	172	413.88622516	transcription factor AS1	dehydrin/lea group 2-like protein
484	Lchi02953	Lchi13097	positive_coexpression	0.97615510	0.97615510	positive	1070	168	413.87134397	homeobox-leucine zipper protein ATHB-13-like isoform X1	glycosylinositol phosphorylceramide mannosyl transferase 1-like
485	Lchi01491	Lchi27946	positive_coexpression	0.98939401	0.98939401	positive	983	178	413.86246183	scarecrow-like protein 27	receptor protein kinase CLAVATA1
486	Lchi13371	Lchi07386	positive_coexpression	0.96730542	0.96730542	positive	1040	176	413.84396349	ethylene-responsive transcription factor 4-like	potassium transporter 2
487	Lchi13937	Lchi11374	negative_coexpression	-0.98322558	0.98322558	negative	1030	172	413.84337254	B3 domain-containing protein Os03g0212300-like	dehydrin/lea group 2-like protein
